"","OBJECTID","CLASS_ID","Flight","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"161",161,0,"F1_","F1_161",0.192131064286765,"F3_170",1,285253.2471,4426023.5727,TRUE
"162",162,0,"F1_","F1_162",0.148877754591554,"F3_141",1,285260.2231,4426023.0715,TRUE
"163",163,0,"F1_","F1_163",0.217911514272708,"F3_142",1,285256.9297,4426023.1331,TRUE
"164",164,0,"F1_","F1_164",0.35867908151927,"F3_174",1,285253.9357,4426023.0016,TRUE
"165",165,0,"F1_","F1_165",0.272461535092475,"F3_144",1,285264.4948,4426022.8417,TRUE
"166",166,0,"F1_","F1_166",0.156992439474838,"F3_175",1,285256.0601,4426022.6381,TRUE
"167",167,0,"F1_","F1_167",0.417071022594287,"F3_176",1,285252.5858,4426022.7031,TRUE
"168",168,0,"F1_","F1_168",0.188185787079602,"F3_145",1,285258.1083,4426022.6735,TRUE
"169",169,0,"F1_","F1_169",0.308427951016,"F3_146",1,285262.4166,4426022.579,TRUE
"170",170,0,"F1_","F1_170",0.0385390969232624,"F3_147",1,285261.1561,4426022.3569,TRUE
"171",171,0,"F1_","F1_171",0.221032035133505,"F3_148",1,285263.5817,4426022.3243,TRUE
"172",172,0,"F1_","F1_172",0.187048605793655,"F3_152",1,285259.6757,4426021.9931,TRUE
"173",173,0,"F1_","F1_173",0.0616732873434351,"F3_151",1,285257.1822,4426021.8951,TRUE
"174",174,0,"F1_","F1_174",0.306885628393325,"F3_177",1,285253.7399,4426021.9477,TRUE
"175",175,0,"F1_","F1_175",0.343487461314711,"F3_179",1,285252.3971,4426021.7382,TRUE
"176",176,0,"F1_","F1_176",0.172425119008058,"F3_153",1,285264.2167,4426021.6645,TRUE
"177",177,0,"F1_","F1_177",0.163497397255372,"F3_178",1,285255.3147,4426021.4616,TRUE
"178",178,0,"F1_","F1_178",0.163325138987119,"F3_154",1,285262.9446,4426021.3903,TRUE
"179",179,0,"F1_","F1_179",0.218817506675017,"F3_181",1,285256.3789,4426021.1774,TRUE
