"","OBJECTID","CLASS_ID","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"519",840,0,"F4_518",0.136408372302392,"F1_572",1,285829.3644,4425676.7335,TRUE
"520",841,0,"F4_519",0.320105697877188,"F1_179",1,285830.264,4425675.9715,TRUE
"521",842,0,"F4_520",0.100696117351669,"F1_180",1,285828.4814,4425673.8125,TRUE
"522",843,0,"F4_521",0.0932809381441778,"F1_589",1,285829.3069,4425671.2936,TRUE
"523",844,0,"F4_522",0.0475840662211401,"F1_569",1,285830.041,4425663.6822,TRUE
"524",845,0,"F4_523",0.0599117942696987,"F1_565",1,285830.848,4425660.2426,TRUE
"525",846,0,"F4_524",0.168806288590434,"F1_560",1,285828.0304,4425656.2507,TRUE
"526",847,0,"F4_525",0.182672602185537,"F1_257",1,285828.6071,4425655.5733,TRUE
"527",848,0,"F4_526",0.968931797048397,"F1_256",0,285830.1999,4425656.2559,TRUE
"528",849,0,"F4_527",0.10674629165682,"F1_559",1,285830.0941,4425655.1288,TRUE
"529",850,0,"F4_528",0.162426349965562,"F1_259",1,285827.7658,4425654.4515,TRUE
"530",851,0,"F4_529",0.201923479232485,"F1_556",1,285829.5808,4425654.1446,TRUE
"531",852,0,"F4_530",0.13002598215986,"F1_266",1,285826.9879,4425652.3115,TRUE
"532",853,0,"F4_531",0.0629550329413825,"F1_550",1,285827.2895,4425651.1156,TRUE
"533",854,0,"F4_532",0.179560214042728,"F1_553",1,285829.9248,4425651.7189,TRUE
"534",855,0,"F4_533",0.125849265491878,"F1_265",1,285829.7766,4425652.5285,TRUE
"535",856,0,"F4_534",0.292666948608568,"F1_557",1,285827.9827,4425653.4598,TRUE
"536",857,0,"F4_535",0.104261336078287,"F1_264",1,285828.7553,4425652.9624,TRUE
"537",858,0,"F4_536",0.205731962913137,"F1_551",0,285828.2209,4425651.0892,TRUE
"538",859,0,"F4_537",0.125854790267675,"F1_554",1,285830.6772,4425652.0968,TRUE
"539",860,0,"F4_538",0.101128694429478,"F1_555",1,285831.2858,4425653.4991,TRUE
"540",861,0,"F4_539",0.131655344231975,"F1_583",1,285832.8953,4425682.3699,TRUE
"541",862,0,"F4_540",0.153537834904417,"F1_371",1,285778.7959,4425612.4562,TRUE
"542",863,0,"F4_541",0.0646031540307246,"F1_381",1,285775.7532,4425614.0173,TRUE
"543",864,0,"F4_542",0.206688568078152,"F1_362",1,285770.9642,4425614.7052,TRUE
"544",865,0,"F4_543",0.109044431447256,"F1_361",1,285770.0911,4425615.3137,TRUE
"545",866,0,"F4_544",0.0414243697416631,"F1_380",1,285769.9588,4425614.4142,TRUE
"546",867,0,"F4_545",0.133530017784744,"F1_865",1,285769.4826,4425615.8165,TRUE
"547",868,0,"F4_546",0.154129352560856,"F1_867",1,285772.9486,4425616.6896,TRUE
"548",869,0,"F4_547",0.0961178106818526,"F1_357",1,285766.7309,4425619.4148,TRUE
"549",870,0,"F4_548",0.0133314138520117,"F1_368",1,285762.3653,4425623.0925,TRUE
"550",871,0,"F4_549",0.12117338968685,"F1_855",1,285760.5661,4425624.389,TRUE
"551",872,0,"F4_550",0.25076937055377,"F1_857",1,285760.7778,4425623.1454,TRUE
"552",873,0,"F4_551",0.140253234368049,"F1_367",1,285759.3093,4425624.2435,TRUE
"553",874,0,"F4_552",0.0705137685482207,"F1_365",1,285759.1506,4425625.4738,TRUE
"554",875,0,"F4_553",0.164126734976085,"F1_853",1,285757.788,4425626.6115,TRUE
"555",876,0,"F4_554",0.409032243466214,"F1_853",0,285758.1319,4425626.3866,TRUE
"556",877,0,"F4_555",0.132450551423929,"F1_851",1,285758.3304,4425627.7624,TRUE
"557",878,0,"F4_556",1.89919120242766,"F1_342",0,285755.3538,4425628.1725,TRUE
"558",879,0,"F4_557",0.203548295988441,"F1_341",1,285759.1043,4425629.5704,TRUE
"559",880,0,"F4_558",0.0662496069168709,"F1_342",1,285756.9082,4425629.3058,TRUE
"560",881,0,"F4_559",0.0938623907379266,"F1_340",1,285754.7254,4425630.0731,TRUE
"561",882,0,"F4_560",0.187659778113363,"F1_844",1,285754.3021,4425631.0653,TRUE
"562",883,0,"F4_561",0.1437381097368,"F1_336",1,285753.4289,4425631.9781,TRUE
"563",884,0,"F4_562",0.0827422453968253,"F1_337",1,285755.2678,4425631.9252,TRUE
"564",885,0,"F4_563",0.152348813167948,"F1_843",1,285752.3309,4425632.3485,TRUE
"565",886,0,"F4_564",0.0697908816970527,"F1_333",1,285751.5504,4425633.473,TRUE
"566",887,0,"F4_565",0.10715961552714,"F1_332",1,285752.5294,4425633.8699,TRUE
"567",888,0,"F4_566",0.118738136145099,"F1_331",1,285751.5901,4425634.5975,TRUE
"568",889,0,"F4_567",0.0813206223129557,"F1_839",1,285753.2173,4425635.2457,TRUE
"569",890,0,"F4_568",0.118909699586841,"F1_838",1,285753.0585,4425636.3438,TRUE
"570",891,0,"F4_569",0.202215752849776,"F1_328",1,285751.7885,4425636.1321,TRUE
"571",892,0,"F4_570",0.135556584642358,"F1_329",1,285750.7566,4425636.0792,TRUE
"572",893,0,"F4_571",0.105215739111961,"F1_345",1,285749.9565,4425638.1628,TRUE
"573",894,0,"F4_572",0.143552031787429,"F1_835",1,285750.2184,4425639.4963,TRUE
"574",895,0,"F4_573",0.0335821680617569,"F1_836",1,285751.0598,4425639.4645,TRUE
"575",896,0,"F4_574",0.0756079965330638,"F1_837",1,285751.9329,4425638.4723,TRUE
"576",897,0,"F4_575",0.0016927836311977,"F1_324",1,285753.3776,4425639.5836,TRUE
"577",898,0,"F4_576",2.41843469693877,"F1_326",0,285756.0208,4425639.5233,TRUE
"578",899,0,"F4_577",0.1060268763381,"F1_821",1,285750.4499,4425646.8853,TRUE
"579",900,0,"F4_578",0.237709688147412,"F1_832",1,285750.8151,4425645.0914,TRUE
"580",901,0,"F4_579",0.102212023626195,"F1_825",1,285746.3066,4425642.5832,TRUE
"581",902,0,"F4_580",0.0665500557624073,"F1_826",1,285747.1162,4425642.0275,TRUE
"582",903,0,"F4_581",0.129590959768638,"F1_875",1,285771.3798,4425640.8726,TRUE
"583",904,0,"F4_582",0.127505912124485,"F1_321",1,285769.4907,4425641.7458,TRUE
"584",905,0,"F4_583",0.0902050331943623,"F1_878",1,285768.5223,4425642.3649,TRUE
"585",906,0,"F4_584",0.111026189246105,"F1_880",1,285767.4111,4425644.6668,TRUE
"586",907,0,"F4_585",0.039963972912407,"F1_881",1,285766.4586,4425643.9524,TRUE
"587",908,0,"F4_586",0.16150077713577,"F1_320",1,285766.6491,4425642.3966,TRUE
"588",909,0,"F4_587",0.1798837485434,"F1_884",1,285766.3792,4425641.3965,TRUE
"589",910,0,"F4_588",0.0748419730821544,"F1_882",1,285765.9506,4425643.0475,TRUE
"590",911,0,"F4_589",0.085776751789847,"F1_883",1,285764.8552,4425642.9364,TRUE
"591",912,0,"F4_590",0.0174628935098264,"F1_294",1,285748.7989,4425650.6259,TRUE
"592",913,0,"F4_591",0.22375746869658,"F1_295",1,285747.3173,4425650.1602,TRUE
"593",914,0,"F4_592",0.132326780512763,"F1_794",1,285745.7536,4425656.4028,TRUE
"594",915,0,"F4_593",0.139071894157663,"F1_274",1,285747.611,4425655.7122,TRUE
"595",916,0,"F4_594",0.0270341729008057,"F1_807",1,285743.1721,4425653.8407,TRUE
"596",917,0,"F4_595",0.850402380747173,"F1_279",0,285741.5423,4425654.7297,TRUE
