PCC,PCC.sd,Kappa,Kappa.sd,sensitivity,sensitivity.sd,specificity,specificity.sd,AUC,AUC.sd,TSS,nestimate,colony,flight,Method,Method1,Method2,Observed,Method3,PctError,DisttoColony,Angle,RMSE,NSSDA,Per_Cover,maxRMSE
0.98630137,0.005147049,0.767319326,0.085068886,0.987951807,0.00489385,0.923076923,0.076923077,0.955514365,0.038539297,0.91102873,493,bluffs,f3f1,Double,AcrossDay,na,498,UAS,1.004016064,na,na,0.31426775,0.54393462,6.842224716,na
1,0,1,0,1,0,1,0,1,0,1,811,c,f1f3f4,Triple,ThreeDay,na,812,UAS,0.123152709,na,na,na,na,9.769142358,0.412696202
0.998789346,0.001210654,0.964901844,0.035055292,0.998768473,0.001231527,1,0,0.999384236,0.000615764,0.998768473,811,c,f3f1f4,Triple,ThreeDay,na,812,UAS,0.123152709,na,na,na,na,9.769142358,0.412696202
0.998789346,0.001210654,0.964901844,0.035055292,0.998768473,0.001231527,1,0,0.999384236,0.000615764,0.998768473,811,c,f3f4f1,Triple,ThreeDay,na,812,UAS,0.123152709,na,na,na,na,9.769142358,0.412696202
0.998792271,0.001207729,0.969081404,0.030885147,0.998768473,0.001231527,1,0,0.999384236,0.000615764,0.998768473,811,c,f4f3f1,Triple,ThreeDay,na,812,UAS,0.123152709,na,na,na,na,9.769142358,0.412696202
0.998792271,0.001207729,0.969081404,0.030885147,0.998768473,0.001231527,1,0,0.999384236,0.000615764,0.998768473,811,c,f4f1f3,Triple,ThreeDay,na,812,UAS,0.123152709,na,na,na,na,9.769142358,0.412696202
1,0,1,0,1,0,1,0,1,0,1,811,c,f1f4f3,Triple,ThreeDay,na,812,UAS,0.123152709,na,na,na,na,9.769142358,0.412696202
1,0,1,0,1,0,1,0,1,0,1,73,bsouth,f1f343,Triple,ThreeDay,na,73,UAS,0,na,na,na,na,2.363570578,0.351122099
1,0,1,0,1,0,1,0,1,0,1,73,bsouth,f1f3f4,Triple,ThreeDay,na,73,UAS,0,na,na,na,na,2.363570578,0.351122099
1,0,1,0,1,0,1,0,1,0,1,73,bsouth,f3f1f4,Triple,ThreeDay,na,73,UAS,0,na,na,na,na,2.363570578,0.351122099
