UFID,dist,nnid2,Observed,Nesting
F4_170,1.188068277,F4_176,1,1
F4_176,1.188068277,F4_170,1,1
F4_280,1.18847071,F4_278,1,1
F4_385,1.189683487,F4_389,1,1
F4_203,1.190334336,F4_688,1,1
F4_688,1.190334336,F4_203,1,1
F4_353,1.191626536,F4_660,1,1
F4_396,1.19259502,F4_637,1,1
F4_637,1.19259502,F4_396,1,1
F4_234,1.194169374,F4_403,1,1
F4_403,1.194169374,F4_234,1,1
F4_306,1.194341702,F4_304,1,1
F4_88,1.195394593,F4_93,1,1
F4_806,1.195614631,F4_807,1,1
F4_1,1.196523472,F4_816,1,1
F4_406,1.197828064,F4_408,1,1
F4_239,1.198907754,F4_240,1,1
F4_240,1.198907754,F4_239,0,1
F4_764,1.199159042,F4_765,1,1
F4_89,1.20034087,F4_92,1,1
F4_724,1.201328015,F4_723,1,1
F4_481,1.205096781,F4_480,1,1
F4_565,1.205483106,F4_566,1,1
F4_706,1.209729964,F4_707,1,1
F4_456,1.210741138,F4_591,1,1
F4_136,1.211431694,F4_727,1,1
F4_618,1.217427914,F4_527,1,1
F4_356,1.217860804,F4_349,1,1
F4_253,1.218025977,F4_258,1,1
F4_409,1.219155549,F4_806,1,1
F4_257,1.219609481,F4_229,1,1
F4_714,1.223396413,F4_715,1,1
F4_98,1.223413177,F4_99,1,1
F4_273,1.223672736,F4_706,1,1
F4_487,1.224231426,F4_486,1,1
F4_390,1.225967585,F4_636,1,1
F4_101,1.227004817,F4_104,1,1
F4_701,1.227086488,F4_253,1,1
F4_497,1.227569225,F4_493,1,1
F4_362,1.232087169,F4_360,1,1
F4_79,1.233671072,F4_80,1,1
F4_573,1.238020781,F4_442,1,1
F4_448,1.238847917,F4_462,1,1
F4_462,1.238847917,F4_448,1,1
F4_287,1.24048619,F4_288,1,1
F4_6,1.241332637,F4_5,1,1
F4_687,1.241713236,F4_688,1,1
F4_340,1.242371613,F4_336,1,1
F4_791,1.24512686,F4_34,1,1
F4_78,1.24645389,F4_76,1,1
F4_600,1.247604797,F4_615,1,1
F4_179,1.248033535,F4_182,1,1
F4_182,1.248033535,F4_179,1,1
F4_558,1.254667475,F4_608,1,1
F4_608,1.254667475,F4_558,1,1
F4_477,1.25647765,F4_480,1,1
F4_140,1.259732448,F4_727,1,1
F4_41,1.262725735,F4_42,1,1
F4_695,1.262885689,F4_696,1,1
F4_696,1.262885689,F4_695,1,1
F4_412,1.263144203,F4_410,1,1
F4_228,1.263980568,F4_230,1,1
F4_222,1.268386784,F4_690,1,1
F4_690,1.268386784,F4_222,1,1
F4_348,1.269382504,F4_176,1,1
F4_452,1.269393236,F4_588,1,1
F4_342,1.270982614,F4_340,1,1
F4_739,1.274981859,F4_76,1,1
F4_405,1.278069104,F4_236,1,1
F4_189,1.28115018,F4_173,1,1
F4_293,1.282075005,F4_295,1,1
F4_237,1.282685057,F4_405,1,1
F4_371,1.284118574,F4_368,1,1
F4_86,1.284239904,F4_87,1,1
F4_673,1.287588606,F4_672,1,1
F4_58,1.290794499,F4_61,1,1
F4_668,1.292407593,F4_148,1,1
F4_361,1.294876991,F4_364,1,1
F4_165,1.294895657,F4_670,1,1
F4_468,1.295503634,F4_454,1,1
F4_95,1.297797724,F4_92,1,1
F4_185,1.299018168,F4_679,1,1
F4_679,1.299018168,F4_185,1,1
F4_28,1.303442213,F4_783,1,1
F4_783,1.303442213,F4_28,1,1
F4_210,1.307938204,F4_399,1,1
F4_317,1.311369905,F4_315,1,1
F4_211,1.313505522,F4_212,1,1
F4_212,1.313505522,F4_211,1,1
F4_686,1.319172244,F4_181,1,1
F4_490,1.320755736,F4_489,1,1
F4_457,1.321565616,F4_592,1,1
F4_592,1.321565616,F4_457,1,1
F4_528,1.326823179,F4_617,1,1
F4_400,1.330078312,F4_694,1,1
F4_343,1.332961046,F4_340,1,1
F4_135,1.333298025,F4_729,1,1
F4_318,1.334092895,F4_325,1,1
F4_394,1.341713932,F4_390,1,1
F4_750,1.342909723,F4_749,1,1
F4_595,1.347882751,F4_594,1,1
F4_341,1.352883867,F4_343,1,1
F4_238,1.358303896,F4_121,1,1
F4_213,1.359497864,F4_211,1,1
F4_737,1.364649288,F4_692,1,1
F4_631,1.36797137,F4_526,1,1
F4_422,1.368963983,F4_424,1,1
F4_139,1.371446036,F4_142,1,1
F4_117,1.373482989,F4_730,1,1
F4_510,1.375069912,F4_516,1,1
F4_289,1.380617621,F4_279,1,1
F4_219,1.394147838,F4_218,1,1
F4_220,1.401169,F4_223,1,1
F4_563,1.410092094,F4_564,1,1
F4_208,1.410466426,F4_210,0,1
F4_322,1.417405665,F4_324,0,1
F4_75,1.423228781,F4_78,1,1
F4_225,1.426625012,F4_221,1,1
F4_247,1.42748439,F4_250,1,1
